"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"3";"1uF";"C-USC0805K";"C0805K";"C1, C2, C5";"CAPACITOR, American symbol";"";
"1";"330uF/6.3V";"CPOL-USSMCD";"SMC_D";"C6";"POLARIZED CAPACITOR, American symbol";"";
"1";"6.8K";"R-US_M0805";"M0805";"R6";"RESISTOR, American symbol";"";
"1";"AS5030";"AS5030";"TSSOP16";"U1";"";"";
"3";"LSP10";"LSP10";"LSP10";"+5V, GND, OUT";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
