"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"PINHD-1X3";"1X03";"RAIN_COUNT";"PIN HEADER";"";
"1";"MINI-USB-32005-301";"MINI-USB-32005-301";"32005-301";"USB";"MINI USB-B Conector";"";
"2";"RJ45-8PTH";"RJ45-8PTH";"RJ45-8";"J1, J2";"RJ45 Jack";"";
