"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"3";"";"PINHD-1X3";"1X03";"SUN, WIND_COUNT, WIND_DIR";"PIN HEADER";"";
"1";"RJ45-8VERT";"RJ45-8VERT";"RJ45_VERT";"J1";"RJ45 Jack";"";
