"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"PINHD-1X3";"1X03";"RAIN_COUNT, SUN";"PIN HEADER";"";
"1";"MINI-USB-32005-301";"MINI-USB-32005-301";"32005-301";"USB";"MINI USB-B Conector";"";
"2";"RJ45-8VERT";"RJ45-8VERT";"RJ45_VERT";"J1, J2";"RJ45 Jack";"";
